date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:20:39	16473/16473	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264dcead8-4059%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/body-03.svg	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/body-03.svg	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/index2.html)
21:20:40	14759/14759	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264dcead5-39a7%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/body-04.svg	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/body-04.svg	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/index2.html)
21:20:40	12160/12160	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264dceac1-2f80%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/panama.svg	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/panama.svg	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/index2.html)
21:20:40	12993/12993	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264dcead5-32c1%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/sydne.svg	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/sydne.svg	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/index2.html)
21:20:40	6193/6193	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264dceaca-1831%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/delhi.svg	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/delhi.svg	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/index2.html)
21:20:40	12305/12305	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264dcead9-3011%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/new-work.svg	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/new-work.svg	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/index2.html)
21:20:41	3557/3557	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264dceac7-de5%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/merchester.svg	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/merchester.svg	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/index2.html)
21:20:41	4228/4228	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264dcead7-1084%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/abu-dabi.svg	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/abu-dabi.svg	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/index2.html)
21:20:41	51724/51724	---M--	200	added ('OK')	image/png	etag:%2264dcea46-ca0c%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/feature-1.png	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/feature-1.png	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/index2.html)
21:20:41	95472/95472	---M--	200	added ('OK')	image/png	etag:%2264dcea48-174f0%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/feature-2.png	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/feature-2.png	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/index2.html)
21:20:42	95566/95566	---M--	200	added ('OK')	image/png	etag:%2264dcea4b-1754e%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/feature-3.png	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/feature-3.png	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/index2.html)
21:20:42	61205/61205	---M--	200	added ('OK')	image/png	etag:%2264dcea4d-ef15%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/feature-4.png	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/feature-4.png	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/index2.html)
21:20:42	52299/52299	---M--	200	added ('OK')	image/png	etag:%2264dcea3b-cc4b%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/recent-launch-car-1.png	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/recent-launch-car-1.png	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/index2.html)
21:20:42	56615/56615	---M--	200	added ('OK')	image/png	etag:%2264dcea3d-dd27%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/recent-launch-car-2.png	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/recent-launch-car-2.png	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/index2.html)
21:20:42	36012/36012	---M--	200	added ('OK')	image/png	etag:%2264dcea3c-8cac%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/recent-launch-car-3.png	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/recent-launch-car-3.png	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/index2.html)
21:20:43	41742/41742	---M--	200	added ('OK')	image/png	etag:%2264dcea3a-a30e%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/recent-launch-car-4.png	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/recent-launch-car-4.png	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/index2.html)
21:20:43	1007/1007	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264dcead0-3ef%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/premium.svg	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/premium.svg	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/index2.html)
21:20:43	27052/27052	---M--	200	added ('OK')	image/png	etag:%2264dcea41-69ac%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/used-car-01.png	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/used-car-01.png	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/index2.html)
21:20:43	11826/11826	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264dceac1-2e32%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/mercedes-2.svg	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/mercedes-2.svg	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/index2.html)
21:20:43	39389/39389	---M--	200	added ('OK')	image/png	etag:%2264dcea43-99dd%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/used-car-02.png	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/used-car-02.png	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/index2.html)
21:20:44	1661/1661	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264dceac5-67d%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/volkswagen-2.svg	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/icon/volkswagen-2.svg	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/index2.html)
21:20:44	30545/30545	---M--	200	added ('OK')	image/png	etag:%2264dcea44-7751%22	https://demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/used-car-03.png	C:/Users/pk/Downloads/drivco/demo-egenslab.b-cdn.net/html/drivco/preview/assets/img/home2/used-car-03.png	(from https://demo-egenslab.b-cdn.net/html/drivco/preview/index2.html)
